Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
Saint Mary's Square Garage,433 Kearny St,San Francisco,94104,,24 hours daily; pay lot,,37.7920393,-122.4043372,20,"City View Cafe, 360 Degrees Gourmet World Grill, Pachino Trattoria & Pizzeria, Baladie Gourmet Cafe, Onigilly Restaurant, Harrow, Sauce, Ramen Underground, Plouf, Coffee Bar, Plentea, Brindisi Cucina di Mare, B44, Pasilla Mexican Grill, Foundation Cafe, Have a Rice Day, Tenmatsu, Max's Market, Sunrise Deli, Teriyaki Experience"
CCSF-SFMTA,1610 Geary Blvd,San Francisco,94115,,24 hours daily,ChargePoint Network,37.7849121,-122.4302368,20,"Chocolate Chair, Shifuku Tea & Arts, Pagoda Cafe, Nijiya Market, Belly Good Cafe & Crepes, Kappa Japanese Restaurant, Andersen Bakery, Playground, Murata's Cafe Hana, Takara Japanese Restaurant, SF Film Society Cinema, Toraya Japanese Restaurant, Isobune Sushi, Benihana, May's Coffee Shop, Mifune Restaurant, Kushi Tsuru, Osakaya Restaurant, Chocolate Chair, Koji Osakaya"
BMW GROUP,433 Mason St,San Francisco,94102,,24 hours daily,ChargePoint Network,37.7876523,-122.4103043,20,"Pinecrest Diner, Level III, Postrio, Cafe Encore, Biscuits & Blues, Katana-Ya, Colibri Mexican Bistro, Chabaa Thai Cuisine, San Francisco Art Exchange, Zingari Ristorante, Pompodori's Pizzas, Cafe Bellatrix, Starbucks, Henry VIII Shabu Shabu, Irina Nevska Gallery, Bella Lucca, Lori's Diner, Jack In The Box, Little Sheep Mongolian Hot Pot, Klyde Cafe & Wine Bar"
HUNTINGTONBEACH,200 Main St,Huntington Beach,92648,,24 hours daily,ChargePoint Network,33.6585579,-118.0003281,20,"Coach's, The Coffee Bean & Tea Leaf, IHOP, Luigi's Restaurant, G's Boat House, Dos Toros Mexican Grill, Bomburger, International House of Pancakes, Starbucks, Hurricanes Bar & Grill, BJ's Restaurant & Brewhouse, No Ka Oi, Longboard Restaurant & Pub, Brazilian Bites Surf City, Huntington Beach International Surfing Museum, Aloha Grill, Coach's Mediterranean Grill, Coffee Bean & Tea Leaf, Coach's Deli, Sugar Shack Caf"
1111 6th Avenue,1111 6th Avenue Parking Basement,San Diego,92101,,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,SemaCharge Network,32.717006,-117.15898,20,"Mama Lucci's, Alexander Salazar Fine Art, White Box Contemporary - Art Gallery, Wildside Cafe, Cafe 1146, 7-Eleven, Submarina, Grab & Go 6th Ave, Sushi Freak, Sixth Avenue Bistro, MAD Fix Coffee, 7 Cafe, Stout Public House, Old Gallery Coffee House, Simon's On Sixth, Pho Xpress, City Pizzeria, Thai Island, Avos Mediterranean Cuisine, Ai Sushi & Teriyaki"
Japan Center Garage,1610 Geary Blvd,San Francisco,94115,,24 hours daily; pay lot,,37.784912,-122.430237,20,"Playground, Andersen Bakery, Kappa Japanese Restaurant, Belly Good Cafe & Crepes, Chocolate Chair, Nijiya Market, Pagoda Cafe, Chocolate Chair, Koji Osakaya, Chocolate Chair, Osakaya Restaurant, Kushi Tsuru, Mifune Restaurant, May's Coffee Shop, Benihana, Isobune Sushi, Toraya Japanese Restaurant, SF Film Society Cinema, Takara Japanese Restaurant, Murata's Cafe Hana"
SANTA MONICA,328-395 Santa Monica Pl,Santa Monica,90401,,24 hours daily,ChargePoint Network,34.014004,-118.4943572,20,"Ugo Cafe, Stefano's Pizzeria, Sarku Japan, Johnny Rockets, Manchu Wok, Chick n' Ribs, Sbarro, Blue Stove, True Food Kitchen, M.A.K.E., Zengo, The Curious Palate, Pizza Antica, Groundwork Coffee Co., Caf Crpe, Pinches Tacos, La Sandia, Charlie Kabob, Fresh Healthy Cafe, Redwood Grille"
345 CAL EVCS,123 Battery St,SF,94111,,24 hours daily,ChargePoint Network,37.7927019,-122.3999596,19,"Cafe Madeleine, Chez Fayala, Michael Mina, Tadich Grill, Espressamente iIly, Locali Mediterranean, Good Eats Cafe, Unicorn, Cafe Med, Starbucks, 77 Chinese & Hawaii BBQ, San Francisco Soup Company, Lee's Deli, Andersen Bakery, Eric Ripert@Aqua, Gracie's Cafe Society, Subway, Tokyo Express, Starbucks"
BROOKFIELD WEST,333 S Hope St,Los Angeles,90071,,24 hours daily,ChargePoint Network,34.0535161,-118.2532569,19,"Cityscape, Pentolino To Go, Starbucks, Let's Roll Sushi, California Pizza Kitchen, Cilantro Fresh Mexican Grill, Tacone Wells Fargo Center, La Petite Boulangerie, McDonald's, Trimana, Atrium Cafe, Starbucks, Smoke on Hope Street, Trimana, Starbucks, Smoke, Crisp Pasta, The Happy Inka, Market Caf and Atrium Caf at Wells Fargo Center"
Westfield Galleria - Tesla,1151 Galleria Blvd,Roseville,95678,,24 hours daily; for Tesla use only,,38.7734419,-121.2692846,18,"Gordon Biersch Brewery Restaurant, Beard Papa's Sweets Cafe Galleria Mall, Potato Corner, Milo's Grill, O Tasty Monogoliana BBQ, Teavana, Jamba Juice, Charley's Grilled Subs, Ruby Thai Kitchen, California Crisp, Orange Julius, Dairy Queen, Hibachi San, McDonald's, Panda Express, Cajun Cafe, Villa Pizza, Krush Burger"
AT&T PARK,24 Willie Mays Plaza,SF,94158,,24 hours daily,ChargePoint Network,37.777598,-122.3903697,18,"A Taste Of North Beach, Gilroy Garlic Fries, Slice House, King Street Carvery, Orlando's Caribbean BBQ, Doggie Diner, Ghirardelli Chocolate, Mijita, Tres Stand @ AT&T Park, Let's Be Frank, Murph's Clubhouse Pub, Pier 44 CHOWDER HOUSE, @Cafe, Mijita, Public House, Mccovey's Restaurant 44 Barbecue, John McGraw's Derby Grill, Tully's"
CITY OF SEALBCH,120 Main St,Seal Beach,90740,,24 hours daily,ChargePoint Network,33.7403984,-118.1051788,17,"Pho Basil Leaf, Slice of New York Pizza, Angelo's Italian Deli, Beachwood BBQ, Seaside Grill, Thai On Main, Javatinis Espresso, Bogart's Coffee House, The Hangout Restaurant & Beach Bar, Old Town Cafe, Taco Surf, El Burrito Jr, The Angel Store, O'Malley's On Main, The Social Cupcake, Art Images, Basil Leaf"
133 The Promenade North Garage,133 The Promenade N,Long Beach,90802,,Garage business hours; pay lot,,33.7686909,-118.191434,17,"La Shish, Broadway Pizza & Grill, The Big Catch Seafood, Sevilla, Congregation Ale House, BO-beau Kitchen & Roof Tap, Murder at the Conga Club, Wokcano, Murder at the Conga Club, Congregation Ale House, BO-beau Kitchen & Roof Tap, YEE: Yelp's Party on the Roof Tap at BO-beau, The Big Catch Seafood, Broadway Pizza & Grill, Wokcano, Sevilla, La Shish"
133 PROMENADE,133 The Promenade N,Long Beach,90802,,24 hours daily,ChargePoint Network,33.7686909,-118.191434,17,"La Shish, Broadway Pizza & Grill, The Big Catch Seafood, Sevilla, Congregation Ale House, BO-beau Kitchen & Roof Tap, Murder at the Conga Club, Wokcano, Murder at the Conga Club, Congregation Ale House, BO-beau Kitchen & Roof Tap, YEE: Yelp's Party on the Roof Tap at BO-beau, The Big Catch Seafood, Broadway Pizza & Grill, Wokcano, Sevilla, La Shish"
